p1x	p1y	p1z	p2x	p2y	p2z	p3x	p3y	p3z	mu1	mu2	mu3	mu4
7.166705	-36.07322	36.07171	-26.78015	18.21753	-19.81718	19.61345	17.85569	-16.25453	0.5	-0.5	0.5	-0.5
-72.47451	-15.87259	65.26597	38.80461	5.350405	-17.91335	33.6699	10.52219	-47.35262	-0.5	0.5	-0.5	0.5
-127.3421	-43.9245	-2.049041	62.45425	3.137362	-9.139709	64.8878	40.78714	11.18875	0.5	-0.5	-0.5	0.5
-13.35892	2.637854	-19.78375	-33.38858	12.51795	-75.67716	46.7475	-15.1558	95.46091	-0.5	0.5	0.5	-0.5
-13.86031	60.65632	32.74443	-23.77844	1.847554	16.6984	37.63875	-62.50387	-49.44283	0.5	-0.5	0.5	-0.5
-26.78763	31.43082	-59.21239	0.6421449	-78.71994	7.76999	26.14549	47.28911	51.4424	-0.5	0.5	-0.5	0.5
-109.3994	3.72729	18.99179	17.67673	-6.198155	-38.22439	91.72266	2.470865	19.23261	-0.5	0.5	-0.5	0.5
-31.19827	25.51618	-124.186	4.228685	8.782882	7.505739	26.96959	-34.29906	116.6803	0.5	-0.5	-0.5	0.5
-26.34506	2.998819	-6.534614	-46.63796	-51.1457	-13.86531	72.98302	48.14689	20.39992	0.5	-0.5	0.5	-0.5
-41.10122	41.07609	-30.19061	-0.5685414	18.00706	7.579712	41.66976	-59.08315	22.6109	-0.5	0.5	0.5	-0.5
113.5947	54.68587	41.42618	-85.24817	-46.68853	-13.86504	-28.34648	-7.997339	-27.56114	0.5	-0.5	0.5	-0.5
28.57695	18.77274	-113.1406	-34.43007	25.6182	19.15554	5.853112	-44.39094	93.98503	0.5	-0.5	0.5	-0.5
97.40031	-34.11214	33.34268	-3.151697	61.68394	-1.980359	-94.24862	-27.5718	-31.36232	0.5	-0.5	0.5	-0.5
-2.891315	88.34056	82.41523	-17.28079	-24.40966	-7.913059	20.17211	-63.9309	-74.50217	0.5	-0.5	0.5	-0.5
-20.90291	-94.07091	-106.519	22.18446	20.60881	40.35348	-1.281558	73.4621	66.16557	0.5	-0.5	0.5	-0.5
3.126269	94.5474	-0.8018164	-2.796759	-14.32547	17.51787	-0.3295101	-80.22193	-16.71605	-0.5	0.5	0.5	-0.5
-135.7839	-19.96503	-22.26568	63.54239	-37.67786	16.48904	72.24154	57.64289	5.776641	0.5	-0.5	0.5	-0.5
-63.52342	44.34138	43.42216	-12.10988	-85.58883	-15.59474	75.63331	41.24745	-27.82742	-0.5	0.5	-0.5	0.5
67.31407	-6.276337	110.4956	-42.49871	-19.03838	-59.83662	-24.81536	25.31472	-50.65895	0.5	-0.5	-0.5	0.5
-62.77191	-80.64029	20.1834	104.1437	58.81318	4.891038	-41.3718	21.82711	-25.07444	0.5	-0.5	0.5	-0.5
-136.8711	53.42943	-59.38689	43.24459	-48.94399	22.98348	93.62654	-4.485434	36.40341	-0.5	0.5	-0.5	0.5
-79.42888	23.34477	-91.80727	83.52597	21.32728	48.45493	-4.09709	-44.67205	43.35233	0.5	-0.5	-0.5	0.5
-93.06851	2.395851	82.97112	28.62794	13.00465	-35.9282	64.44057	-15.4005	-47.04292	-0.5	0.5	0.5	-0.5
