nosym
-28	28	29
-6	6	7
-150	100	126
-0.00106915	-0.00989209	0.00140652	
-0.000436237	-0.00196762	-0.00120776	
-0.000462254	-0.00207242	-0.00125022	
-0.000481026	-0.00221364	-0.00129226	
-0.000490627	-0.00237187	-0.00132915	
-0.000504827	-0.00250198	-0.00138123	
-0.000515674	-0.00262581	-0.00143512	
-0.000543699	-0.00278047	-0.00142443	
-0.000576046	-0.00295487	-0.00140983	
-0.000603761	-0.00317982	-0.00148254	
-0.000599367	-0.00337403	-0.00157275	
-0.000644125	-0.00358564	-0.00169655	
-0.000689573	-0.00382021	-0.0016885	
-0.000722441	-0.00406995	-0.00171012	
-0.000743474	-0.00436133	-0.00177606	
-0.000779335	-0.0046589	-0.00181587	
-0.000814152	-0.00495464	-0.00185935	
-0.000857016	-0.00526794	-0.00192542	
-0.000899844	-0.00563116	-0.00194571	
-0.000916843	-0.0060352	-0.00195739	
-0.000958995	-0.00647803	-0.00200412	
-0.000998652	-0.00694779	-0.00205377	
-0.00103256	-0.00742993	-0.00206349	
-0.00107612	-0.00799492	-0.0020936	
-0.00113461	-0.00860772	-0.00210563	
-0.00117746	-0.00923376	-0.00213341	
-0.0012376	-0.00991701	-0.00208037	
-0.00125346	-0.0107594	-0.00214749	
-0.00129892	-0.0116234	-0.00207095	
-0.00135529	-0.0125498	-0.00207459	
-0.00140692	-0.0135971	-0.00201055	
-0.00143994	-0.0147304	-0.00194477	
-0.00148581	-0.0159776	-0.0018432	
-0.00153077	-0.0173627	-0.00173017	
-0.0015668	-0.0188952	-0.00158439	
-0.00160115	-0.0205934	-0.00140645	
-0.00163794	-0.0224919	-0.00116358	
-0.00166218	-0.0245406	-0.000927061	
-0.00167597	-0.0268689	-0.000616873	
-0.00171822	-0.0294417	-0.000259312	
-0.0017273	-0.0323298	0.000202943	
-0.00170664	-0.0355203	0.000691365	
-0.00171321	-0.0391933	0.00124389	
-0.0016977	-0.0432496	0.00190933	
-0.00168586	-0.0477684	0.00258157	
-0.00159287	-0.0529106	0.00352563	
-0.00153532	-0.0586412	0.0044337	
-0.00147219	-0.065125	0.00552973	
-0.00136387	-0.0725333	0.00673451	
-0.00122703	-0.08084	0.00814757	
-0.00107385	-0.0904192	0.00971253	
-0.000917588	-0.101153	0.0114542	
-0.000669611	-0.113416	0.0135269	
-0.000364538	-0.127364	0.0157854	
-0.00024261	-0.143504	0.0183672	
0.000313405	-0.16196	0.0211524	
0.000580858	-0.182868	0.0247661	
0.000760979	-0.207506	0.0288112	
0.00116737	-0.235817	0.033458	
0.00194259	-0.268413	0.0384444	
0.00223019	-0.307244	0.0453079	
0.00282315	-0.352763	0.0535301	
